year,game,strategy,n,share
2025,BARG,A,30,0.21428571428571427
2025,BARG,E,110,0.7857142857142857
2025,COMP,L,34,0.24285714285714285
2025,COMP,T,106,0.7571428571428571
2025,DEF,R,35,0.25
2025,DEF,S,105,0.75
2025,DISC,C,44,0.3142857142857143
2025,DISC,Q,96,0.6857142857142857
2025,GOV,I,38,0.2714285714285714
2025,GOV,S,102,0.7285714285714285
2025,SHIFT,H,97,0.6928571428571428
2025,SHIFT,I,43,0.30714285714285716
2025,SIGNAL,C,22,0.15714285714285714
2025,SIGNAL,H,118,0.8428571428571429
2026,BARG,A,28,0.2
2026,BARG,E,112,0.8
2026,COMP,L,28,0.2
2026,COMP,T,112,0.8
2026,DEF,R,40,0.2857142857142857
2026,DEF,S,100,0.7142857142857143
2026,DISC,C,37,0.2642857142857143
2026,DISC,Q,103,0.7357142857142858
2026,GOV,I,39,0.2785714285714286
2026,GOV,S,101,0.7214285714285714
2026,SHIFT,H,89,0.6357142857142857
2026,SHIFT,I,51,0.36428571428571427
2026,SIGNAL,C,23,0.16428571428571428
2026,SIGNAL,H,117,0.8357142857142857
2027,BARG,A,34,0.24285714285714285
2027,BARG,E,106,0.7571428571428571
2027,COMP,L,32,0.22857142857142856
2027,COMP,T,108,0.7714285714285715
2027,DEF,R,36,0.2571428571428571
2027,DEF,S,104,0.7428571428571429
2027,DISC,C,43,0.30714285714285716
2027,DISC,Q,97,0.6928571428571428
2027,GOV,I,46,0.32857142857142857
2027,GOV,S,94,0.6714285714285714
2027,SHIFT,H,93,0.6642857142857143
2027,SHIFT,I,47,0.3357142857142857
2027,SIGNAL,C,22,0.15714285714285714
2027,SIGNAL,H,118,0.8428571428571429
2028,BARG,A,36,0.2571428571428571
2028,BARG,E,104,0.7428571428571429
2028,COMP,L,36,0.2571428571428571
2028,COMP,T,104,0.7428571428571429
2028,DEF,R,46,0.32857142857142857
2028,DEF,S,94,0.6714285714285714
2028,DISC,C,50,0.35714285714285715
2028,DISC,Q,90,0.6428571428571429
2028,GOV,I,41,0.29285714285714287
2028,GOV,S,99,0.7071428571428572
2028,SHIFT,H,87,0.6214285714285714
2028,SHIFT,I,53,0.37857142857142856
2028,SIGNAL,C,27,0.19285714285714287
2028,SIGNAL,H,113,0.8071428571428572
2029,BARG,A,27,0.19285714285714287
2029,BARG,E,113,0.8071428571428572
2029,COMP,L,31,0.22142857142857142
2029,COMP,T,109,0.7785714285714286
2029,DEF,R,45,0.32142857142857145
2029,DEF,S,95,0.6785714285714286
2029,DISC,C,45,0.32142857142857145
2029,DISC,Q,95,0.6785714285714286
2029,GOV,I,30,0.21428571428571427
2029,GOV,S,110,0.7857142857142857
2029,SHIFT,H,101,0.7214285714285714
2029,SHIFT,I,39,0.2785714285714286
2029,SIGNAL,C,28,0.2
2029,SIGNAL,H,112,0.8
